F5 NGINX & BIG-IP Kubernetes Solutions — Technology Feature Comparison Matrix,,,,,,,,
Comparison of: F5 NGINX Ingress Controller (NIC) | Community Ingress-NGINX | F5 NGINX Gateway Fabric (NGF) | F5 BIG-IP Next for Kubernetes (BNK) | F5 BIG-IP Container Ingress Services (CIS),,,,,,,,
Feature / Category,"F5 NGINX Ingress Controller
(NIC — nginxinc/kubernetes-ingress)","Community Ingress-NGINX
(kubernetes/ingress-nginx) ?? EOL Mar 2026","F5 NGINX Gateway Fabric
(NGF — nginx/nginx-gateway-fabric)","F5 BIG-IP Next for Kubernetes
(BNK — DPU-Accelerated, Telco & AI)","F5 BIG-IP Container Ingress Services
(CIS — External BIG-IP ADC Connector)",,,
?? TARGET USE CASE,"General-purpose K8s ingress
(enterprise, cloud-native apps)","General-purpose K8s ingress
(legacy — EOL Mar 2026)","Modern cloud-native K8s ingress
(future-standard Gateway API)","Telco/Service Provider, AI factories,
high-performance large-scale infra","Enterprises with existing BIG-IP investments;
Kubernetes extending to external ADC;
OpenShift + hybrid multi-cluster environments",,,
??  GENERAL OVERVIEW,,,,,,,,
Maintained By,F5 / NGINX Inc. (dedicated team),Kubernetes Community (EOL Mar 2026),F5 / NGINX Inc. (dedicated team),F5 (dedicated engineering team),F5 (open-source — included with BIG-IP support),,,
GitHub Repository,nginx/kubernetes-ingress,kubernetes/ingress-nginx,nginx/nginx-gateway-fabric,? No (F5 Artiifactory),"F5Networks/k8s-bigip-ctlr
(clouddocs.f5.com/containers/latest)",,,
License,Apache 2.0 (OSS) + Commercial (Plus),Apache 2.0 (OSS),Apache 2.0 (OSS) + Commercial (Plus),?? Commercial — F5 / MyF5 entitlement required,Apache 2.0 (OSS) — support via BIG-IP entitlement,,,
Kubernetes API Used,"Ingress API + CRDs (VirtualServer, etc.)",Ingress API + Annotations,"Gateway API (GatewayClass, Gateway, Routes)","Gateway API (GatewayClass, Gateway, Routes,Virtual Servers, etc)","Ingress API + OpenShift Routes + F5 CRDs (VirtualServer, TransportServer, Policy, ExternalDNS) + AS3 ConfigMap",,,
Data Plane,NGINX Open Source or NGINX Plus,NGINX Open Source (Lua extensions),NGINX Open Source or NGINX Plus,F5 TMM (Traffic Management Microkernel) — optionally DPU-accelerated (NVIDIA BlueField-3),F5 BIG-IP (hardware or VE) — external to the cluster; TMM data plane,,,
Maturity / Status,? Actively developed — production-grade,?? Feature frozen — EOL March 2026,? Actively developed — future-forward,? Actively developed — future-forward,? Actively developed — v2.x GA — enterprise production-grade,,,
Market Share / Adoption,~40% of Kubernetes Ingress deployments,Previously ~41% — declining post-EOL,Growing — CNCF-conformant GA release,telco/service provider & AI infrastructure; growing enterprise,Established — prevalent in enterprises with existing BIG-IP investments,,,
Commercial Tier Available,? Yes — NGINX Plus integration,? No,? Yes — NGINX Plus / NGINX One,"? Yes — SPK, CNF and BNK",?? Included with BIG-IP license — CIS itself is open source,,,
CNCF Conformance,N/A (Ingress API),N/A (Ingress API),? Yes — Gateway API conformant,? Yes — Gateway API v1.2.0 conformant,?? N/A — control-plane connector; data plane is BIG-IP (not Gateway API),,,
??  CONFIGURATION MODEL,,,,,,,,
Configuration Approach,"CRDs (VirtualServer, Policy, TransportServer) + standard Ingress resources",Kubernetes Ingress resources + annotations + ConfigMap,"Gateway API resources (GatewayClass, Gateway, HTTPRoute, GRPCRoute, etc.)","Gateway API CRDs + F5 extension CRDs (CNEInstance, BNKSecPolicy, F5BigFwPolicy, F5SPKEgress, iRules)","CRDs (VirtualServer, TransportServer, Policy, ExternalDNS) + AS3 ConfigMap + Kubernetes Ingress + OpenShift Routes",,,
Custom Resource Definitions (CRDs),"? Yes — VirtualServer, VirtualServerRoute,
TransportServer, Policy, GlobalConfiguration",?? Limited — custom ConfigMap keys only,? Yes — Gateway API CRDs (standardized),"? Yes —BIGIP Analyzers, CNE addresslists, iRules, PortLists, DDOS globals, FW pol, RuleLists, Profiles, BNK Gateways, BNK Egress, SnatPools, Static Routes, Vlans, BIGIP TMM, etc","? Yes — VirtualServer, TransportServer, IngressLink, Policy, ExternalDNS, TLSProfile",,,
Annotation-based Config,? Supported (plus CRDs for advanced use),? Primary configuration method,? No — annotation-less by design,? No — CRD/CR-driven exclusively,? Yes — Ingress annotations + OpenShift Route annotations,,,
Schema Validation,? Yes — CRD schema-backed validation,"?? Limited — annotation strings, no schema",? Yes — Gateway API schema validation,? Yes — Gateway API schema validation,? Yes — CRD schema + AS3 JSON schema validation,,,
Role-Based Configuration Model,?? Single role (cluster admin focus),?? Single role (cluster admin focus),"? Yes — 3 roles: Infra Provider, Cluster Operator, App Developer","? Yes — 3 roles: Infra Provider, Cluster Operator, App Developer (Gateway API model)",?? Limited — single admin model; NetOps drives BIG-IP config via K8s manifests,,,
Multi-Tenancy Support,?? Limited — namespace-level separation,?? Limited,? Native — role-oriented multi-tenant model,??,? Yes — BIG-IP partitions per tenant; multi-cluster support,,,
GitOps Compatible,? Yes,? Yes,? Yes,? Yes,? Yes — declarative YAML/CRDs + AS3 declarations,,,
Helm Chart Deployment,? Yes,? Yes,? Yes,? Yes,? Yes — Helm charts + OLM (Operator Lifecycle Manager) on OpenShift,,,
??  TRAFFIC ROUTING,,,,,,,,
HTTP/HTTPS Routing,? Yes — host & path-based,? Yes — host & path-based,"? Yes — HTTPRoute (host, path, header, query)","? Yes — HTTPRoute (host, path, header, query, irules)",? Yes — host & path routing via VirtualServer CRD and Ingress,,,
Layer 7 Routing,? Yes,? Yes,? Yes,? Yes,? Yes — full BIG-IP LTM L7 capabilities,,,
Layer 4 (TCP/UDP) Routing,? Yes — via TransportServer CRD,?? Partial — via ConfigMap annotation,?? Roadmap — L4 support planned (TCPRoute/UDPRoute),,"? Yes — TransportServer CRD (TCP, UDP)",,,
gRPC Routing,? Yes — native gRPC support,?? Partial — requires TLS + HTTP/2 annotation,? Yes — native GRPCRoute,? Yes — GRPCRoute,?? Partial — via BIG-IP HTTP/2 profile; no native gRPC CRD,,,
WebSocket Support,? Yes,? Yes,? Yes,,? Yes,,,
Header-Based Routing,? Yes,?? Partial — via annotations,? Yes — native in HTTPRoute spec,? Yes — HTTPRoute native,? Yes — via iRules + LTM policies on BIG-IP,,,
Path-Based Routing,? Yes,? Yes,? Yes,? Yes,? Yes — VirtualServer CRD,,,
Query Parameter Routing,? Yes,?? Partial,? Yes — native in HTTPRoute spec,? Yes,?? Partial — via iRules,,,
Cookie-Based Routing,? Yes,? Yes — canary via cookie annotation,? Yes,,? Yes — BIG-IP persistence profiles,,,
Method-Based Routing,? Yes,?? Partial,? Yes — native,? Yes,?? Partial — via iRules / LTM policy,,,
Cross-Namespace Routing,? Yes (v5.3+ — upstream from different NS),?? Limited,? Yes — native via ReferenceGrant,,? Yes — CIS watches multiple namespaces; multi-cluster service discovery,,,
TLS Passthrough,? Yes — via TransportServer,?? Partial,? Yes — TLSRoute passthrough,? Yes — TLSRoute,? Yes — TLSProfile passthrough + BIG-IP SSL passthrough,,,
??  LOAD BALANCING,,,,,,,,
Layer 7 Load Balancing,? Yes,? Yes,? Yes,? Yes — high-performance via TMM,? Yes — full BIG-IP LTM,,,
Layer 4 Load Balancing,? Yes — TCP/UDP via TransportServer,?? Partial,?? Roadmap,,? Yes — TransportServer + BIG-IP LTM TCP/UDP,,,
Round Robin,? Yes,? Yes,? Yes,? Yes,? Yes,,,
Least Connections,? Yes (Plus: full upstream config),? Yes,? Yes,,? Yes — BIG-IP LTM load balancing methods,,,
IP Hash / Sticky Sessions,? Yes,? Yes,? Yes,? Yes,"? Yes — BIG-IP persistence profiles (cookie, source IP, SSL)",,,
Session Persistence,? Yes (cookie-based + Plus: full),? Yes — cookie annotation,? Yes,,"? Yes — full BIG-IP persistence (cookie, source IP, custom)",,,
Active Health Checks,?? NGINX Plus only,?? Passive only (OSS),?? NGINX Plus only,? Yes — TMM-native active health checks,"? Yes — BIG-IP native active health monitors (HTTP, TCP, ICMP, custom)",,,
Passive Health Checks,? Yes (OSS),? Yes,? Yes (OSS),,? Yes,,,
Dynamic Reconfiguration,? Yes — no NGINX reload required (Plus),?? Requires NGINX reload,? Yes (Plus),"? Yes — TMM hot reconfiguration, no reload",? Yes — AS3 declarative push; no BIG-IP reload required,,,
Upstream Zone / State Sharing,"?? NGINX Plus — key-value store, zones",? No,?? NGINX Plus,,? Yes — BIG-IP HA config-sync; shared state across BIG-IP pairs,,,
??  TRAFFIC MANAGEMENT & DEPLOYMENT PATTERNS,,,,,,,,
Traffic Splitting / Weighting,? Yes — VirtualServer spec,? Yes — canary annotation,? Yes — native HTTPRoute weight,,? Yes — VirtualServer CRD pools with weights,,,
Canary Deployments,? Yes,? Yes,? Yes,? Yes,? Yes — pool weighting,,,
Blue-Green Deployments,? Yes,?? Partial — via annotations,? Yes — native,,? Yes — OpenShift Routes A/B + CIS CRD pools,,,
A/B Testing,? Yes,? Yes,? Yes,? Yes,? Yes,,,
Rate Limiting,? Yes — Policy CRD,? Yes — annotation,? Yes — RateLimit policy,,? Yes — Policy CRD + BIG-IP rate shaping,,,
Circuit Breaking,? Yes,?? Partial,? Yes,? Yes,? Yes — BIG-IP connection limits + health monitors,,,
Request Buffering,? Yes,? Yes,? Yes,,? Yes — BIG-IP HTTP profiles,,,
Request/Response Header Manipulation,? Yes,? Yes — annotations,? Yes — native HTTPRoute filters,? Yes — HTTPRoute filters,? Yes — iRules + BIG-IP HTTP profile header insertion,,,
URL Rewriting / Redirects,? Yes,? Yes,? Yes — native HTTPRoute filters,,? Yes — VirtualServer rewrite + iRules,,,
Request Mirroring,? Yes,? Yes,? Yes — native,? Yes,? Yes — BIG-IP mirroring,,,
Direct Response Injection,? Yes,?? Partial,? Yes — native,,? Yes — iRules,,,
Caching,? Yes (v5.3+ — configurable cache policy),?? Limited,?? Roadmap,?? Roadmap,? Yes — BIG-IP RAM Cache (Web Acceleration profile),,,
Connection Limiting,? Yes,? Yes,? Yes,,? Yes — BIG-IP virtual server connection limits,,,
??  SECURITY,,,,,,,,
TLS/SSL Termination,? Yes,? Yes,? Yes,,? Yes — hardware-accelerated SSL on BIG-IP,,,
mTLS (Mutual TLS),? Yes — Policy CRD (client & backend),? Yes — annotations,? Yes — BackendTLSPolicy,? Yes,? Yes — C3D (Client Certificate Constrained Delegation) + mutual auth profiles,,,
JWT Authentication,? Yes (OSS + Plus),?? Limited — third-party auth only,?? Roadmap,,? Yes — BIG-IP APM + iRules,,,
OIDC Authentication,? Yes — OIDC + v5.3+ enhancements,?? Via external auth-url annotation,?? Roadmap,? Yes,"? Yes — BIG-IP APM OIDC/OAuth federation, SSO, MFA",,,
Basic Authentication,? Yes,? Yes,? Yes,,? Yes,,,
RBAC,? Yes — Kubernetes native RBAC,? Yes — Kubernetes native RBAC,"? Yes — enhanced, role-based model",? Yes — Kubernetes native + Gateway API role model,? Yes — Kubernetes RBAC + BIG-IP partition-level RBAC,,,
WAF (Web Application Firewall),"?? NGINX App Protect (Plus) — OWASP Top 10, gRPC schema, OpenAPI",?? ModSecurity (limited),?? F5 WAF for NGINX (Plus/NGINX One),,"? Yes — F5 Advanced WAF (OWASP Top 10, bot defense, API security, L3/L7 firewall via Policy CRD)",,,
DDoS Protection,? Yes — combined with F5 security stack,?? Basic,? Yes — combined with F5 security stack,"? Yes — full DDoS mitigation, edge firewall",? Yes — F5 Advanced WAF + BIG-IP DoS protection profiles,,,
IP Allowlist/Denylist,? Yes,? Yes,? Yes,,? Yes — Policy CRD + BIG-IP iRules + network firewall,,,
CORS Policy,? Yes,? Yes — annotation,? Yes — native HTTPRoute filter,? Yes,? Yes — iRules + BIG-IP HTTP profiles,,,
Secret Management (TLS),? Yes — Kubernetes Secrets,? Yes — Kubernetes Secrets,? Yes — Kubernetes Secrets,,? Yes — Kubernetes Secrets; BIG-IP certificate management,,,
End-to-End Encryption,? Yes — TLS passthrough & termination,? Yes,? Yes,? Yes — hardware-offloaded encryption on DPU,"? Yes — SSL bridging, SSL passthrough, re-encryption",,,
Zero Trust / Shift Left Security,? Yes — Policy CRD enforcement,?? Limited,? Yes — role-based policy model,? Yes — role-based policy model,? Yes — BIG-IP APM zero-trust; identity-aware ingress,,,
OpenID Connect Enhancements,"? Yes (v5.3+ token timeouts, front-channel logout)",?? Basic,?? Roadmap,? Yes,"? Yes — BIG-IP APM full OIDC (federation, MFA, token validation)",,,
??  OBSERVABILITY & MONITORING,,,,,,,,
Prometheus Metrics,? Yes,? Yes,? Yes,? Yes,? Yes — CIS exports AS3 HTTP client metrics; BIG-IP Telemetry Streaming,,,
Grafana Integration,? Yes,? Yes,? Yes,? Yes,? Yes — via BIG-IP Telemetry Streaming + Prometheus,,,
OpenTelemetry / Tracing,"? Yes — OTel, Jaeger, Zipkin",? Yes,? Yes,? Yes,?? Partial — via BIG-IP Analytics; not native OTel,,,
Access Logging,? Yes,? Yes,? Yes,? Yes,? Yes — BIG-IP request logging profiles; High-Speed Logging (HSL),,,
Structured JSON Logging,? Yes,? Yes,? Yes,? Yes,? Yes — BIG-IP Telemetry Streaming JSON output,,,
Real-Time Metrics Dashboard,?? NGINX Plus — NGINX One Console,? Not built-in ? Yes through Grafana and Prometheus integrations,?? NGINX Plus — NGINX One Console,? Not built-in ? Yes through Grafana and Prometheus integrations,? Yes — BIG-IP Analytics + Telemetry Streaming dashboard,,,
Health Check Endpoint,? Yes,? Yes,? Yes,? Yes,? Yes — CIS /ready endpoint + BIG-IP health monitors,,,
NGINX One Console,?? Available with NGINX One subscription,? No,?? Available with NGINX One subscription,? No,"? No — uses BIG-IP management (TMUI, TMOS CLI, F5 ADSP)",,,
??  EXTENSIBILITY,,,,,,,,
Custom Extensions Model,? CRDs + Policy resources + NGINX snippets,?? Annotations + Lua modules (fragile),? Policy Attachments — annotation-less model,,? Yes — iRules (TCL) + AS3 ConfigMap + Policy CRD + BIG-IP profiles,,,
NGINX Configuration Snippets,? Yes,? Yes — nginx.ingress.kubernetes.io/configuration-snippet,? No — by design (cleaner model),? No — not NGINX-based,? No — not NGINX-based,,,
Lua Scripting,? No (uses native NGINX modules),? Yes — Lua-based extensions,? No,,? No — uses iRules (TCL-based programmable data plane),,,
Custom Policies / Filters,? Yes — Policy CRD,?? Via annotations only,? Yes — Policy attachments (extensionRef),"? Yes — BNKSecPolicy, BNKNetPolicy, F5BigFwPolicy","? Yes — Policy CRD (WAF, firewall, persistence, iRules, profiles)",,,
Plugin Ecosystem,?? Limited — NGINX modules,?? Limited — Lua plugins,? Growing — Gateway API extension points,,"? Yes — full BIG-IP module ecosystem (APM, ASM/WAF, DNS, AFM, GTM)",,,
??  PLATFORM & INTEGRATIONS,,,,,,,,
Kubernetes Versions,? All modern versions,? All modern versions (until EOL),? All modern versions,,? All modern versions — see CIS compatibility matrix,,,
Red Hat OpenShift,? Yes,? Yes,? Yes,? Yes — certified,? Yes — Red Hat certified; NextGen Routes + OLM support,,,
Service Mesh Integration (Istio/Linkerd),? Yes,? Yes,? Yes — north-south + east-west,,?? Partial — north-south LB; Istio ambient mesh (HBONE) not natively supported. Aspen Mesh,,,
F5 BIG-IP / IngressLink,? Yes — IngressLink CRD integration,?? Via CIS only,?? Roadmap,? Yes — same TMM engine; part of F5 ADSP ecosystem,? Yes — CIS IS the BIG-IP connector; IngressLink for NIC+BIG-IP 2-tier,,,
F5 Distributed Cloud,? Yes,? No,?? Roadmap,? No,? Yes — BIG-IP Distributed Cloud integration,,,
Cert-Manager,? Yes,? Yes,? Yes,? Yes,? Yes,,,
ExternalDNS,? Yes,? Yes,? Yes,? Yes,? Yes — ExternalDNS CRD + F5 IPAM Controller (FIC) for IP management,,,
AWS / Azure / GCP,? Yes — cloud-agnostic,? Yes,? Yes — hybrid/multicloud by design,"? Yes — private cloud, colocated DC, and hybrid",? Yes — BIG-IP VE on public cloud; hybrid multi-cloud deployments,,,
ingress2gateway Migration Tool,? Yes — NGINX provider included,? Yes — source,? Yes — target destination,? No,"? No — CIS uses Ingress/CRD model, not Gateway API; no migration tool",,,
??  OPERATIONAL & ENTERPRISE,,,,,,,,
High Availability,? Yes — multi-replica deployment,? Yes,? Yes,? Yes,? Yes — BIG-IP HA pairs (Active/Standby); Primary/Secondary CIS instances,,,
Horizontal Scaling,? Yes,? Yes,? Yes,? Yes — scales from core to far-edge,?? Partial — CIS scales; BIG-IP scales via VE licensing or hardware,,,
"State Sharing (rate limits, etc.)",?? NGINX Plus — key-value + zone sharing,? No,?? NGINX Plus,? Yes,? Yes — BIG-IP HA config-sync; connection mirroring,,,
Commercial Support (SLA),?? NGINX Plus / NGINX One,? No,?? NGINX Plus / NGINX One,?? Yes — F5 enterprise support with SLA,?? Yes — included with F5 BIG-IP support entitlement,,,
Security Patch Cadence,? Active — dedicated F5 team,?? Critical only until EOL — then none,? Active — dedicated F5 team,? Active — dedicated F5 team,? Active — F5 security advisories + quarterly CIS releases,,,
Upgrade Path from ingress-nginx,? Best-supported — migration guide + tool,N/A,? Via ingress2gateway tool,?? Significant migration — different architecture & CRDs,?? Significant migration — different architecture (external BIG-IP),,,
Vendor Lock-in,?? Moderate — NGINX-specific CRDs,?? Moderate — annotation-based,? Low — standardized Gateway API,? Yes,?? High — requires F5 BIG-IP hardware/VE; iRules are proprietary,,,
Configuration Portability,?? NGINX-specific,?? NGINX-specific,? High — portable across Gateway API impls,?? Limited — Gateway API routes portable; F5 CRDs are proprietary,?? Low — F5-specific CRDs + iRules; AS3 JSON is F5-only,,,
Long-Term Roadmap,? Active — Ingress API + Gateway API path,? EOL — no roadmap,? Future-proof — Gateway API is K8s standard,,"? Active — multi-cluster, NextGen Routes, Gateway API integration planned",,,
??  PROTOCOL SUPPORT,,,,,,,,
HTTP/1.1,? Yes,? Yes,? Yes,? Yes,? Yes,,,
HTTP/2,? Yes,? Yes,? Yes,? Yes,? Yes — BIG-IP HTTP/2 full proxy,,,
HTTP/3 (QUIC),?? Experimental,?? Experimental,?? Roadmap,?? Roadmap,?? Roadmap — BIG-IP QUIC support in progress,,,
HTTPS,? Yes,? Yes,? Yes,? Yes,? Yes,,,
TCP,? Yes — TransportServer,?? Via ConfigMap,?? Roadmap — TCPRoute,,? Yes — TransportServer + BIG-IP LTM,,,
UDP,? Yes — TransportServer,?? Via ConfigMap,?? Roadmap — UDPRoute,? Yes — L4Route (UDP),? Yes — TransportServer + BIG-IP LTM,,,
gRPC,? Yes — native,?? Partial — requires annotations,? Yes — GRPCRoute,,?? Partial — via HTTP/2 profile; no native gRPC CRD,,,
WebSocket,? Yes,? Yes,? Yes,? Yes,? Yes — BIG-IP WebSocket profile,,,
TLS Passthrough,? Yes,?? Via annotation,? Yes — TLSRoute,,? Yes — TLSProfile passthrough + BIG-IP SSL passthrough,,,
??  BNK-EXCLUSIVE CAPABILITIES (not available in NGINX-based solutions),,,,,,,,
"Telco Protocols (SCTP, Diameter, SIP, GTP, NGAP)",? No,? No,? No,? Yes — native TMM support for 4G/5G telco protocols,?? Partial — BIG-IP supports SCTP; limited 5G native support vs BNK,,,
NVIDIA BlueField DPU Acceleration,? No,? No,? No,"? Yes — hardware offload: crypto, network processing, security",? No — BIG-IP uses FPGA/ASIC hardware offload (not BlueField DPU),,,
Egress Traffic Management (SNAT pools),?? Limited,?? Limited,?? Limited,? Yes — F5SPKEgress + F5SPKSnatpool CRDs,? Yes — BIG-IP SNAT pools natively; exposed via CIS CRDs,,,
Intrusion Prevention System (IPS),? No,? No,? No,? Yes — F5-IPSD (SNORT-compatible deep packet inspection),? Yes — BIG-IP AFM (Advanced Firewall Manager) IPS/IDS,,,
Topology Hiding (internal cluster obscuring),? No,? No,? No,? Yes — ingress topology hiding,? Yes — BIG-IP SNAT + topology hiding via VIP abstraction,,,
Per-Subscriber Traffic Visibility / Billing,? No,? No,? No,? Yes — compliance tracking and billing telemetry,?? Partial — BIG-IP Analytics; not Kubernetes-native subscriber model,,,
AI / LLM Traffic Routing (f5-analyzer),? No,? No,? No,? Yes — f5-analyzer routes LLM traffic based on complexity/load,? No — not available in CIS,,,
MCP Server Proxy (Agentic AI),? No,? No,? No,? Yes — reverse proxy for MCP servers with auth & data classification,? No — not available in CIS,,,
Firewall Policy (Stateful ACL),? No,? No,? No,? Yes — F5BigFwPolicy — granular stateful ACL,? Yes — BIG-IP AFM stateful firewall + Policy CRD L3/L7 firewall,,,
iRules (Programmable Data Plane),? No,? No,? No,? Yes — F5 iRules (TCL-based programmable data path),? Yes — full iRules support via BIG-IP; referenced in Policy/VS CRDs,,,
CPU Offload / Energy Efficiency,? No,? No,? No,? Yes — 99% lower CPU utilization vs NGINX; 190x energy efficiency (BlueField),"? Yes — BIG-IP FPGA/ASIC hardware offload (SSL, compression, etc.)",,,
,,,,,,,,
LEGEND,,,,,,,,
? Yes,Feature fully supported,,,,,,,
? No,Feature not available,,,,,,,
?? Partial / Limited,Feature partially supported or has caveats,,,,,,,
?? Commercial (Plus),Available in NGINX Plus or NGINX One commercial tier only,,,,,,,
?? Roadmap,Feature planned but not yet available,,,,,,,
?? Experimental,Feature available but not production-ready,,,,,,,
—  N/A,Not applicable,,,,,,,
,,,,,,,,
